,Male,Female
860,The brother guesses.,The sister guesses.
861,The brother guides.,The sister guides.
862,The brother hammers.,The sister hammers.
863,The brother hands.,The sister hands.
864,The brother handles.,The sister handles.
865,The brother hangs.,The sister hangs.
866,The brother happens.,The sister happens.
867,The brother harasses.,The sister harasses.
868,The brother harms.,The sister harms.
869,The brother hates.,The sister hates.
870,The brother haunts.,The sister haunts.
871,The brother heads.,The sister heads.
872,The brother heals.,The sister heals.
873,The brother heaps.,The sister heaps.
874,The brother heats.,The sister heats.
875,The brother helps.,The sister helps.
876,The brother hooks.,The sister hooks.
877,The brother hops.,The sister hops.
878,The brother hopes.,The sister hopes.
879,The brother hovers.,The sister hovers.
880,The brother hugs.,The sister hugs.
881,The brother hums.,The sister hums.
882,The brother hunts.,The sister hunts.
883,The brother hurries.,The sister hurries.
884,The brother identifies.,The sister identifies.
885,The brother ignores.,The sister ignores.
886,The brother imagines.,The sister imagines.
887,The brother impresses.,The sister impresses.
888,The brother improves.,The sister improves.
889,The brother includes.,The sister includes.
890,The brother increases.,The sister increases.
891,The brother influences.,The sister influences.
892,The brother informs.,The sister informs.
893,The brother injects.,The sister injects.
894,The brother injures.,The sister injures.
895,The brother instructs.,The sister instructs.
896,The brother intends.,The sister intends.
897,The brother interests.,The sister interests.
898,The brother interferes.,The sister interferes.
899,The brother interrupts.,The sister interrupts.
900,The brother introduces.,The sister introduces.
901,The brother invents.,The sister invents.
902,The brother invites.,The sister invites.
903,The brother irritates.,The sister irritates.
904,The brother itches.,The sister itches.
905,The brother jails.,The sister jails.
906,The brother jams.,The sister jams.
907,The brother jogs.,The sister jogs.
908,The brother joins.,The sister joins.
909,The brother jokes.,The sister jokes.
910,The brother judges.,The sister judges.
911,The brother juggles.,The sister juggles.
912,The brother jumps.,The sister jumps.
913,The brother kicks.,The sister kicks.
914,The brother kills.,The sister kills.
915,The brother kisses.,The sister kisses.
916,The brother kneels.,The sister kneels.
917,The brother knits.,The sister knits.
918,The brother knocks.,The sister knocks.
919,The brother knots.,The sister knots.
920,The brother labels.,The sister labels.
921,The brother lands.,The sister lands.
922,The brother lasts.,The sister lasts.
923,The brother laughs.,The sister laughs.
924,The brother launches.,The sister launches.
925,The brother learns.,The sister learns.
926,The brother levels.,The sister levels.
927,The brother licenses.,The sister licenses.
928,The brother licks.,The sister licks.
929,The brother lies.,The sister lies.
930,The brother lightens.,The sister lightens.
931,The brother likes.,The sister likes.
932,The brother lists.,The sister lists.
933,The brother listens.,The sister listens.
934,The brother lives.,The sister lives.
935,The brother loads.,The sister loads.
936,The brother locks.,The sister locks.
937,The brother longs.,The sister longs.
938,The brother looks.,The sister looks.
939,The brother loves.,The sister loves.
940,The brother mans.,The sister mans.
941,The brother manages.,The sister manages.
942,The brother marches.,The sister marches.
943,The brother marks.,The sister marks.
944,The brother marries.,The sister marries.
945,The brother matches.,The sister matches.
946,The brother mates.,The sister mates.
947,The brother matters.,The sister matters.
948,The brother measures.,The sister measures.
949,The brother meddles.,The sister meddles.
950,The brother melts.,The sister melts.
951,The brother memorises.,The sister memorises.
952,The brother mends.,The sister mends.
953,The brother milks.,The sister milks.
954,The brother mines.,The sister mines.
955,The brother misses.,The sister misses.
956,The brother mixes.,The sister mixes.
957,The brother moans.,The sister moans.
958,The brother moors.,The sister moors.
959,The brother mourns.,The sister mourns.
960,The brother moves.,The sister moves.
961,The brother muddles.,The sister muddles.
962,The brother mugs.,The sister mugs.
963,The brother multiplies.,The sister multiplies.
964,The brother murders.,The sister murders.
965,The brother nails.,The sister nails.
966,The brother names.,The sister names.
967,The brother needs.,The sister needs.
968,The brother nests.,The sister nests.
969,The brother nods.,The sister nods.
970,The brother notes.,The sister notes.
971,The brother notices.,The sister notices.
972,The brother numbers.,The sister numbers.
973,The brother obeys.,The sister obeys.
974,The brother objects.,The sister objects.
975,The brother observes.,The sister observes.
976,The brother obtains.,The sister obtains.
977,The brother occurs.,The sister occurs.
978,The brother offends.,The sister offends.
979,The brother offers.,The sister offers.
980,The brother opens.,The sister opens.
981,The brother orders.,The sister orders.
982,The brother overflows.,The sister overflows.
983,The brother owes.,The sister owes.
984,The brother owns.,The sister owns.
985,The brother packs.,The sister packs.
986,The brother paddles.,The sister paddles.
987,The brother paints.,The sister paints.
988,The brother parks.,The sister parks.
989,The brother parts.,The sister parts.
990,The brother passes.,The sister passes.
991,The brother pastes.,The sister pastes.
992,The brother pats.,The sister pats.
993,The brother pauses.,The sister pauses.
994,The brother pecks.,The sister pecks.
995,The brother pedals.,The sister pedals.
996,The brother peels.,The sister peels.
997,The brother peeps.,The sister peeps.
998,The brother performs.,The sister performs.
999,The brother permits.,The sister permits.
1000,The brother phones.,The sister phones.
1001,The brother picks.,The sister picks.
1002,The brother pinches.,The sister pinches.
1003,The brother pines.,The sister pines.
1004,The brother places.,The sister places.
1005,The brother plans.,The sister plans.
1006,The brother plants.,The sister plants.
1007,The brother plays.,The sister plays.
1008,The brother pleases.,The sister pleases.
1009,The brother plugs.,The sister plugs.
1010,The brother points.,The sister points.
1011,The brother pokes.,The sister pokes.
1012,The brother polishes.,The sister polishes.
1013,The brother pops.,The sister pops.
1014,The brother possesses.,The sister possesses.
1015,The brother posts.,The sister posts.
1016,The brother pours.,The sister pours.
1017,The brother practises.,The sister practises.
1018,The brother prays.,The sister prays.
1019,The brother preaches.,The sister preaches.
1020,The brother precedes.,The sister precedes.
1021,The brother prefers.,The sister prefers.
1022,The brother prepares.,The sister prepares.
1023,The brother presents.,The sister presents.
1024,The brother preserves.,The sister preserves.
1025,The brother presses.,The sister presses.
1026,The brother pretends.,The sister pretends.
1027,The brother prevents.,The sister prevents.
1028,The brother pricks.,The sister pricks.
1029,The brother prints.,The sister prints.
1030,The brother produces.,The sister produces.
1031,The brother programs.,The sister programs.
1032,The brother promises.,The sister promises.
1033,The brother protects.,The sister protects.
1034,The brother provides.,The sister provides.
1035,The brother pulls.,The sister pulls.
1036,The brother pumps.,The sister pumps.
1037,The brother punches.,The sister punches.
1038,The brother punctures.,The sister punctures.
1039,The brother punishes.,The sister punishes.
1040,The brother pushes.,The sister pushes.
1041,The brother questions.,The sister questions.
